area,bedrooms,bathrooms,floors,parking,property_age,location,property_type,price
1095.0,2,,2,0.0,13.0,Hyderabad,Apartment,9730000.0
1629.0,3,2.0,2,2.0,12.0,Bangalore,Independent House,20520000.0
934.0,1,1.0,1,1.0,18.0,Mumbai,Apartment,15210000.0
1632.0,3,3.0,2,1.0,27.0,Mumbai,Apartment,23170000.0
934.0,1,1.0,2,0.0,23.0,Mumbai,Apartment,13410000.0
1132.0,2,2.0,2,0.0,38.0,Delhi,Apartment,10640000.0
1917.0,3,2.0,2,0.0,29.0,Delhi,Apartment,21930000.0
1935.0,3,3.0,2,1.0,36.0,Pune,Apartment,15830000.0
925.0,1,1.0,2,0.0,8.0,Chennai,Apartment,9730000.0
1716.0,3,2.0,2,2.0,13.0,Bangalore,Apartment,19000000.0
964.0,1,1.0,1,2.0,8.0,Mumbai,Apartment,17500000.0
2151.0,4,3.0,3,2.0,23.0,Mumbai,Villa,43440000.0
1540.0,3,2.0,2,2.0,35.0,Mumbai,Apartment,22470000.0
1301.0,2,2.0,1,1.0,9.0,Mumbai,Apartment,23850000.0
2066.0,3,3.0,1,1.0,16.0,Bangalore,Independent House,21100000.0
1306.0,2,1.0,1,1.0,5.0,Mumbai,Apartment,24740000.0
1809.0,3,2.0,1,1.0,44.0,Pune,Apartment,11740000.0
1225.0,2,1.0,1,1.0,18.0,Kolkata,Apartment,8300000.0
924.0,1,1.0,1,1.0,3.0,Mumbai,Apartment,15370000.0
1622.0,3,3.0,1,1.0,14.0,Chennai,Apartment,14660000.0
2405.0,4,3.0,3,2.0,24.0,Bangalore,Villa,35610000.0
1429.0,2,1.0,2,1.0,21.0,Mumbai,Apartment,20500000.0
1188.0,2,1.0,2,1.0,8.0,Mumbai,Apartment,24290000.0
1365.0,2,1.0,1,1.0,20.0,Pune,Apartment,10660000.0
1765.0,3,3.0,1,0.0,34.0,Chennai,Independent House,17010000.0
1900.0,3,3.0,1,1.0,15.0,Pune,Independent House,20610000.0
667.0,1,1.0,1,,30.0,Mumbai,Apartment,8150000.0
687.0,1,1.0,1,0.0,17.0,Mumbai,Apartment,11980000.0
1450.0,2,2.0,2,2.0,25.0,Pune,Apartment,11140000.0
748.0,1,1.0,1,0.0,40.0,Kolkata,Apartment,4700000.0
1776.0,3,3.0,2,1.0,12.0,Chennai,Independent House,21050000.0
2264.0,4,4.0,2,0.0,37.0,Bangalore,Independent House,20330000.0
500.0,1,1.0,1,0.0,42.0,Bangalore,Apartment,4200000.0
1816.0,3,3.0,2,0.0,41.0,Delhi,Independent House,20450000.0
500.0,1,1.0,1,1.0,24.0,Hyderabad,Apartment,0.0
1310.0,2,1.0,2,2.0,33.0,Bangalore,Apartment,12100000.0
1415.0,2,1.0,1,1.0,43.0,,Apartment,17480000.0
1805.0,3,3.0,1,0.0,16.0,Bangalore,Apartment,17280000.0
1214.0,2,2.0,1,0.0,23.0,Chennai,Apartment,10420000.0
1190.0,2,1.0,2,1.0,25.0,Bangalore,Apartment,10980000.0
1555.0,3,3.0,3,0.0,40.0,Pune,Independent House,14930000.0
1314.0,2,1.0,2,1.0,35.0,Pune,Villa,14180000.0
1944.0,3,3.0,2,0.0,14.0,Mumbai,Independent House,34110000.0
851.0,1,1.0,1,0.0,42.0,Bangalore,Apartment,7080000.0
1100.0,2,2.0,1,1.0,0.0,Delhi,Apartment,15270000.0
1121.0,2,2.0,1,1.0,1.0,Bangalore,Independent House,15200000.0
1252.0,2,1.0,1,1.0,16.0,Chennai,Independent House,14090000.0
1675.0,3,2.0,1,2.0,42.0,Delhi,Apartment,15600000.0
974.0,1,1.0,2,1.0,45.0,Pune,Independent House,8830000.0
1492.0,2,1.0,2,1.0,43.0,Hyderabad,Apartment,10700000.0
3647.0,6,5.0,1,2.0,,Chennai,Villa,50380000.0
971.0,1,1.0,3,1.0,41.0,Mumbai,Independent House,12510000.0
1254.0,2,1.0,1,1.0,5.0,Delhi,Apartment,15970000.0
2089.0,4,3.0,1,1.0,33.0,Mumbai,Independent House,33880000.0
1090.0,2,1.0,1,1.0,32.0,Bangalore,Apartment,9150000.0
1201.0,2,2.0,1,1.0,6.0,Chennai,Apartment,11610000.0
2448.0,4,3.0,3,2.0,43.0,Hyderabad,Independent House,17240000.0
3562.0,6,5.0,3,1.0,23.0,Pune,Villa,43140000.0
500.0,1,1.0,1,0.0,34.0,Mumbai,Apartment,6570000.0
930.0,1,1.0,1,1.0,12.0,Mumbai,Apartment,16570000.0
1512.0,2,2.0,1,0.0,17.0,Hyderabad,Independent House,16290000.0
2569.0,4,4.0,2,2.0,,Pune,Independent House,23540000.0
1529.0,3,2.0,1,0.0,29.0,Mumbai,Apartment,21540000.0
2397.0,4,3.0,3,1.0,16.0,Chennai,Independent House,27380000.0
2589.0,4,4.0,2,1.0,7.0,Pune,Villa,39710000.0
2377.0,4,4.0,2,0.0,2.0,Chennai,Independent House,28910000.0
2262.0,4,4.0,1,1.0,27.0,Bangalore,Independent House,24060000.0
2849.0,5,4.0,1,1.0,45.0,Mumbai,Villa,50070000.0
3084.0,5,5.0,3,2.0,13.0,Delhi,Villa,53760000.0
2155.0,4,3.0,2,2.0,24.0,Pune,Villa,27420000.0
914.0,1,1.0,1,1.0,45.0,Delhi,Apartment,11610000.0
1026.0,2,2.0,2,0.0,27.0,Chennai,Independent House,10630000.0
2245.0,4,4.0,3,1.0,32.0,Chennai,Independent House,18220000.0
3879.0,6,5.0,2,2.0,28.0,Mumbai,Villa,67490000.0
1660.0,3,2.0,1,0.0,8.0,Mumbai,Independent House,36860000.0
1295.0,2,2.0,2,1.0,34.0,Chennai,Apartment,9940000.0
2129.0,4,3.0,2,2.0,44.0,Pune,Villa,19820000.0
1257.0,2,2.0,2,0.0,16.0,Kolkata,Apartment,10770000.0
1629.0,3,3.0,2,2.0,33.0,Bangalore,Apartment,16450000.0
1223.0,2,2.0,2,2.0,30.0,Delhi,Apartment,15380000.0
2736.0,5,5.0,3,2.0,35.0,Hyderabad,Villa,27910000.0
1022.0,2,1.0,2,0.0,31.0,Delhi,Apartment,10950000.0
3013.0,5,4.0,1,1.0,24.0,Bangalore,Villa,40820000.0
1059.0,2,2.0,1,1.0,44.0,Bangalore,Apartment,8050000.0
1196.0,2,2.0,2,1.0,43.0,Kolkata,Independent House,8150000.0
1324.0,2,1.0,2,1.0,,Hyderabad,Apartment,10490000.0
1702.0,3,3.0,3,0.0,13.0,Delhi,Independent House,24870000.0
762.0,1,1.0,2,1.0,22.0,Bangalore,Apartment,9200000.0
1552.0,3,2.0,3,0.0,9.0,Mumbai,Independent House,36860000.0
1415.0,2,1.0,2,1.0,37.0,Pune,Apartment,12350000.0
2351.0,4,4.0,2,1.0,35.0,Bangalore,Villa,28170000.0
2235.0,4,3.0,3,3.0,25.0,Delhi,Villa,35530000.0
2937.0,5,4.0,2,2.0,20.0,Bangalore,Villa,35760000.0
1160.0,2,1.0,2,1.0,9.0,Hyderabad,Independent House,15250000.0
857.0,1,1.0,1,1.0,35.0,Chennai,Independent House,7590000.0
1497.0,2,1.0,3,2.0,45.0,Kolkata,Independent House,10570000.0
1805.0,3,2.0,2,1.0,13.0,Delhi,Apartment,27550000.0
1173.0,2,1.0,1,2.0,1.0,Kolkata,Apartment,11160000.0
1805.0,3,3.0,2,0.0,40.0,Chennai,Apartment,14030000.0
1393.0,2,1.0,2,1.0,2.0,Bangalore,Apartment,14200000.0
1295.0,2,1.0,1,1.0,19.0,Hyderabad,Apartment,12710000.0
3379.0,6,5.0,3,3.0,35.0,Hyderabad,Villa,32400000.0
1670.0,3,3.0,2,0.0,4.0,Delhi,Apartment,24310000.0
1080.0,2,1.0,1,2.0,1.0,Chennai,Apartment,11750000.0
762.0,1,1.0,3,0.0,6.0,Pune,Independent House,9020000.0
1259.0,2,2.0,2,1.0,14.0,Mumbai,Apartment,20160000.0
1767.0,3,3.0,1,0.0,30.0,Bangalore,Independent House,18400000.0
1385.0,2,1.0,2,0.0,17.0,Mumbai,Independent House,26400000.0
1694.0,3,2.0,2,1.0,20.0,Bangalore,Apartment,16200000.0
2277.0,4,4.0,1,1.0,30.0,Bangalore,Independent House,28450000.0
1227.0,2,1.0,2,1.0,11.0,Pune,Apartment,12950000.0
1177.0,2,1.0,2,1.0,39.0,Delhi,Independent House,11920000.0
1410.0,2,1.0,1,1.0,22.0,Delhi,Apartment,13640000.0
1370.0,2,2.0,2,2.0,30.0,Mumbai,Apartment,19790000.0
1410.0,2,1.0,2,2.0,22.0,Delhi,Apartment,16450000.0
706.0,1,1.0,2,,39.0,Kolkata,Apartment,4380000.0
1871.0,3,2.0,2,1.0,6.0,Bangalore,Independent House,25770000.0
1534.0,3,2.0,2,1.0,45.0,Delhi,Apartment,17350000.0
2834.0,5,4.0,2,2.0,15.0,Delhi,Villa,52560000.0
1525.0,2,2.0,3,0.0,6.0,Chennai,Independent House,17980000.0
3142.0,5,4.0,1,2.0,19.0,Bangalore,Villa,40610000.0
1410.0,2,1.0,2,1.0,,Mumbai,Apartment,18000000.0
1547.0,3,3.0,3,1.0,18.0,Delhi,Independent House,22230000.0
1273.0,2,2.0,1,2.0,16.0,Delhi,Apartment,16350000.0
1149.0,2,1.0,1,0.0,0.0,Mumbai,Apartment,24490000.0
4149.0,6,5.0,1,1.0,26.0,Pune,Villa,49460000.0
1312.0,2,2.0,1,1.0,22.0,Kolkata,Apartment,10520000.0
1716.0,3,3.0,1,0.0,44.0,Mumbai,Independent House,22350000.0
1172.0,2,1.0,1,2.0,22.0,Chennai,Apartment,11170000.0
1231.0,2,2.0,2,1.0,18.0,Delhi,Apartment,16450000.0
2660.0,5,5.0,2,1.0,25.0,Mumbai,Independent House,48510000.0
2877.0,5,4.0,3,1.0,22.0,Pune,Villa,37690000.0
1980.0,3,2.0,3,0.0,35.0,Pune,Independent House,14460000.0
681.0,1,1.0,2,1.0,30.0,Hyderabad,Apartment,5290000.0
1366.0,2,2.0,2,1.0,5.0,Delhi,Apartment,21940000.0
1560.0,3,2.0,3,2.0,15.0,Kolkata,Independent House,13460000.0
2513.0,4,3.0,1,0.0,10.0,Mumbai,Independent House,44890000.0
1649.0,3,2.0,1,0.0,39.0,Mumbai,Apartment,23950000.0
3506.0,6,5.0,1,3.0,5.0,Delhi,Villa,64050000.0
1095.0,2,1.0,2,2.0,30.0,Delhi,Apartment,13870000.0
1500.0,2,2.0,3,0.0,23.0,Pune,Independent House,15480000.0
1167.0,2,1.0,2,1.0,37.0,Delhi,Independent House,12380000.0
1445.0,2,1.0,2,0.0,6.0,Mumbai,Apartment,26560000.0
3928.0,6,5.0,2,2.0,18.0,Mumbai,Villa,83050000.0
2542.0,4,4.0,1,1.0,45.0,Delhi,Independent House,28060000.0
1225.0,2,1.0,1,0.0,30.0,Delhi,Apartment,15720000.0
2505.0,4,4.0,1,3.0,23.0,Pune,Villa,29790000.0
2027.0,3,3.0,1,1.0,14.0,Hyderabad,Independent House,20090000.0
984.0,2,1.0,2,0.0,19.0,Pune,Apartment,10080000.0
1208.0,2,2.0,1,1.0,6.0,Delhi,Apartment,18310000.0
2443.0,4,3.0,3,1.0,39.0,Chennai,Independent House,19590000.0
1799.0,3,2.0,1,2.0,32.0,Delhi,Independent House,21270000.0
1549.0,3,2.0,1,0.0,35.0,Mumbai,Apartment,22010000.0
1291.0,2,1.0,2,0.0,30.0,Mumbai,Apartment,17850000.0
1674.0,3,3.0,1,0.0,34.0,Delhi,Independent House,22920000.0
500.0,1,,1,2.0,4.0,Hyderabad,Independent House,6910000.0
2139.0,4,3.0,3,2.0,12.0,Mumbai,Villa,61830000.0
2400.0,4,3.0,3,1.0,21.0,Mumbai,Independent House,43930000.0
2093.0,4,4.0,2,1.0,43.0,Bangalore,Independent House,18330000.0
808.0,1,1.0,2,1.0,16.0,Bangalore,Apartment,7920000.0
2629.0,5,4.0,3,1.0,11.0,Bangalore,Independent House,37060000.0
1683.0,3,2.0,2,0.0,9.0,Bangalore,Independent House,21110000.0
1276.0,2,1.0,2,1.0,10.0,Pune,Apartment,12880000.0
1046.0,2,2.0,1,0.0,28.0,Mumbai,Apartment,15910000.0
1428.0,2,2.0,1,1.0,39.0,Pune,Apartment,9620000.0
1344.0,2,1.0,2,1.0,44.0,Mumbai,Apartment,16210000.0
1473.0,2,1.0,2,0.0,17.0,Bangalore,Independent House,18890000.0
2314.0,4,4.0,3,2.0,39.0,Mumbai,Villa,41340000.0
1615.0,3,2.0,1,1.0,28.0,Delhi,Independent House,18740000.0
1288.0,2,2.0,3,0.0,0.0,Pune,Independent House,16080000.0
1225.0,2,2.0,2,0.0,38.0,,Apartment,11950000.0
3063.0,5,4.0,3,2.0,21.0,Mumbai,Villa,54530000.0
1335.0,2,1.0,1,1.0,30.0,Bangalore,Apartment,11180000.0
1137.0,2,2.0,2,0.0,8.0,Bangalore,Apartment,14050000.0
1349.0,2,1.0,2,0.0,,Hyderabad,Apartment,10560000.0
500.0,1,1.0,1,1.0,0.0,Bangalore,Apartment,6710000.0
1674.0,3,3.0,1,1.0,32.0,Hyderabad,Independent House,13580000.0
1816.0,3,2.0,1,,43.0,Bangalore,Apartment,14410000.0
1322.0,2,2.0,1,1.0,,Kolkata,Apartment,8650000.0
1442.0,2,2.0,2,2.0,43.0,Mumbai,Apartment,19770000.0
1577.0,3,3.0,2,0.0,18.0,Pune,Apartment,15180000.0
1132.0,2,2.0,1,2.0,18.0,Pune,Apartment,11920000.0
3502.0,6,5.0,3,3.0,17.0,Delhi,Villa,58370000.0
1648.0,3,,2,1.0,8.0,Bangalore,Independent House,23230000.0
1740.0,3,2.0,2,1.0,30.0,Bangalore,Apartment,16300000.0
1576.0,3,2.0,1,1.0,44.0,Chennai,Apartment,11200000.0
1198.0,2,2.0,2,1.0,14.0,Pune,Apartment,13670000.0
894.0,1,1.0,2,0.0,28.0,Mumbai,Independent House,13210000.0
2876.0,5,5.0,1,2.0,5.0,Bangalore,Villa,52890000.0
2301.0,4,4.0,1,,28.0,Kolkata,Villa,23600000.0
1222.0,2,2.0,1,1.0,38.0,Mumbai,Independent House,17320000.0
1662.0,3,,2,1.0,21.0,Delhi,Independent House,22840000.0
2945.0,5,4.0,1,1.0,19.0,Delhi,Villa,43690000.0
1154.0,2,1.0,1,1.0,15.0,Hyderabad,Apartment,12390000.0
1501.0,2,1.0,2,0.0,11.0,Hyderabad,Apartment,15800000.0
1568.0,3,2.0,2,1.0,20.0,Bangalore,Apartment,15570000.0
1580.0,3,2.0,3,1.0,43.0,Delhi,Independent House,17330000.0
1322.0,2,2.0,1,2.0,11.0,Kolkata,Apartment,10290000.0
1409.0,2,1.0,1,2.0,38.0,Delhi,Apartment,15530000.0
1312.0,2,2.0,1,2.0,39.0,Mumbai,Apartment,18960000.0
2173.0,4,4.0,1,0.0,32.0,Pune,Independent House,16160000.0
3535.0,6,5.0,3,1.0,42.0,Delhi,Villa,51140000.0
-1635.0,3,2.0,3,1.0,30.0,Mumbai,Independent House,27310000.0
992.0,2,1.0,1,1.0,19.0,Kolkata,Apartment,7300000.0
1425.0,2,2.0,1,1.0,41.0,Delhi,Apartment,13110000.0
1278.0,2,2.0,1,0.0,11.0,Pune,Apartment,10580000.0
955.0,1,1.0,1,1.0,42.0,Kolkata,Apartment,5700000.0
1229.0,2,2.0,2,0.0,35.0,Bangalore,Apartment,11860000.0
500.0,1,1.0,1,1.0,31.0,Delhi,Apartment,6420000.0
1329.0,2,2.0,2,1.0,30.0,Pune,Apartment,10430000.0
1562.0,3,2.0,1,2.0,38.0,Kolkata,Independent House,11050000.0
1622.0,3,3.0,1,0.0,25.0,Pune,Apartment,14920000.0
595.0,1,1.0,2,1.0,26.0,Delhi,Apartment,7650000.0
2832.0,5,5.0,2,2.0,2.0,Pune,Villa,43880000.0
988.0,2,1.0,2,1.0,17.0,Delhi,Apartment,14610000.0
860.0,1,1.0,1,0.0,45.0,Bangalore,Independent House,6510000.0
1078.0,2,1.0,3,1.0,41.0,Mumbai,Independent House,16040000.0
1211.0,2,1.0,2,2.0,42.0,Chennai,Apartment,8240000.0
1632.0,3,,1,1.0,29.0,Mumbai,Apartment,21170000.0
1984.0,3,3.0,1,2.0,32.0,Kolkata,Independent House,13030000.0
1105.0,2,2.0,2,1.0,21.0,Mumbai,Apartment,18400000.0
3471.0,6,5.0,2,3.0,26.0,Delhi,Villa,56780000.0
1676.0,3,2.0,1,0.0,31.0,Delhi,Independent House,22610000.0
1055.0,2,2.0,2,2.0,5.0,Hyderabad,Apartment,11290000.0
1986.0,3,3.0,1,1.0,37.0,Kolkata,Independent House,13670000.0
3826.0,6,5.0,2,2.0,39.0,Mumbai,Villa,67080000.0
694.0,1,1.0,2,1.0,19.0,Hyderabad,Apartment,7840000.0
1397.0,2,1.0,2,0.0,6.0,Mumbai,Apartment,28010000.0
1108.0,2,2.0,2,0.0,24.0,Pune,Apartment,10730000.0
3988.0,6,5.0,2,2.0,27.0,Bangalore,Villa,47690000.0
2724.0,5,5.0,3,1.0,6.0,Pune,Villa,43790000.0
1640.0,3,2.0,1,2.0,4.0,Pune,Apartment,16290000.0
1848.0,3,2.0,2,2.0,17.0,Delhi,Apartment,23380000.0
2041.0,3,2.0,2,1.0,,Mumbai,Independent House,30700000.0
1116.0,2,2.0,1,1.0,16.0,Mumbai,Apartment,19230000.0
3127.0,5,5.0,1,1.0,18.0,Pune,Villa,41280000.0
2189.0,4,4.0,1,0.0,11.0,Pune,Independent House,25320000.0
757.0,1,1.0,1,0.0,6.0,Chennai,Apartment,8060000.0
1285.0,2,1.0,2,0.0,44.0,Mumbai,Independent House,20930000.0
1338.0,2,1.0,1,1.0,36.0,Kolkata,Apartment,8350000.0
1622.0,3,2.0,2,1.0,2.0,Bangalore,Apartment,19060000.0
1175.0,2,1.0,1,2.0,13.0,Bangalore,Apartment,14020000.0
3663.0,6,5.0,2,1.0,14.0,Delhi,Villa,64700000.0
2445.0,4,4.0,1,0.0,37.0,Bangalore,Independent House,22130000.0
1456.0,2,1.0,1,1.0,32.0,Mumbai,Apartment,17570000.0
4442.0,6,5.0,3,3.0,34.0,Pune,Villa,47290000.0
3803.0,6,5.0,2,2.0,33.0,Chennai,Villa,45060000.0
874.0,1,1.0,1,1.0,29.0,Kolkata,Apartment,6070000.0
849.0,1,1.0,1,1.0,8.0,Mumbai,Apartment,17250000.0
3453.0,6,5.0,1,2.0,31.0,Mumbai,Villa,83110000.0
869.0,1,1.0,2,1.0,41.0,Mumbai,Apartment,12390000.0
1661.0,3,3.0,2,0.0,26.0,Delhi,Apartment,18390000.0
1315.0,2,2.0,2,1.0,20.0,Mumbai,Apartment,20560000.0
1909.0,3,3.0,2,0.0,17.0,Pune,Independent House,21170000.0
2307.0,4,3.0,1,2.0,14.0,Mumbai,Villa,56840000.0
1166.0,2,2.0,2,1.0,36.0,Mumbai,Apartment,14600000.0
1260.0,2,2.0,1,2.0,33.0,Chennai,Apartment,12870000.0
1692.0,3,2.0,2,0.0,8.0,Hyderabad,Apartment,17140000.0
1442.0,2,1.0,1,1.0,35.0,Mumbai,Apartment,22670000.0
1456.0,2,2.0,1,2.0,33.0,Bangalore,Apartment,12650000.0
1416.0,2,1.0,1,1.0,7.0,Bangalore,Apartment,19970000.0
1060.0,2,1.0,2,2.0,43.0,Pune,Independent House,9490000.0
1342.0,2,1.0,1,,12.0,Hyderabad,Apartment,11480000.0
1093.0,2,1.0,1,0.0,36.0,Mumbai,Apartment,14480000.0
2224.0,4,4.0,2,0.0,28.0,Hyderabad,Independent House,18690000.0
1042.0,2,2.0,1,1.0,9.0,Pune,Apartment,10310000.0
1292.0,2,1.0,1,0.0,0.0,Mumbai,Apartment,26570000.0
1952.0,3,2.0,3,2.0,22.0,Pune,Independent House,20430000.0
1716.0,3,2.0,1,2.0,21.0,Delhi,Apartment,19590000.0
2184.0,4,3.0,2,2.0,40.0,Kolkata,Villa,18500000.0
2394.0,4,4.0,2,0.0,33.0,Delhi,Independent House,27270000.0
2522.0,4,3.0,2,1.0,16.0,Kolkata,Independent House,19100000.0
1232.0,2,2.0,1,1.0,14.0,Delhi,Apartment,15190000.0
4029.0,6,5.0,1,,20.0,Bangalore,Villa,61110000.0
1082.0,2,1.0,1,1.0,4.0,Mumbai,Apartment,21850000.0
857.0,1,1.0,1,0.0,43.0,Mumbai,Apartment,10080000.0
1698.0,3,2.0,1,2.0,4.0,Bangalore,Apartment,20910000.0
1426.0,2,2.0,2,0.0,14.0,Chennai,Apartment,13770000.0
1443.0,2,1.0,1,1.0,0.0,Bangalore,Apartment,17420000.0
1315.0,2,2.0,2,1.0,36.0,Chennai,Independent House,12380000.0
2191.0,4,4.0,1,1.0,42.0,Kolkata,Independent House,13970000.0
780.0,1,1.0,1,2.0,,Mumbai,Apartment,9420000.0
1187.0,2,2.0,1,1.0,44.0,Chennai,Apartment,9170000.0
1160.0,2,1.0,2,2.0,45.0,Delhi,Apartment,9920000.0
1860.0,3,2.0,2,1.0,16.0,Pune,Apartment,21090000.0
1091.0,2,2.0,1,1.0,35.0,Pune,Apartment,8780000.0
673.0,1,1.0,1,0.0,17.0,Mumbai,Apartment,12600000.0
500.0,1,1.0,2,,42.0,Hyderabad,Apartment,3220000.0
3057.0,5,5.0,1,2.0,6.0,Kolkata,Villa,32570000.0
1318.0,2,1.0,2,1.0,45.0,Bangalore,Apartment,10030000.0
1427.0,2,1.0,3,1.0,30.0,Delhi,Independent House,17080000.0
1800.0,3,2.0,2,1.0,1.0,Delhi,Independent House,32550000.0
1184.0,2,1.0,1,0.0,14.0,Hyderabad,Apartment,11660000.0
500.0,1,1.0,1,0.0,3.0,Pune,Apartment,6520000.0
2266.0,4,3.0,3,0.0,33.0,Mumbai,Independent House,32510000.0
1617.0,3,3.0,2,0.0,16.0,Delhi,Independent House,25400000.0
1340.0,2,1.0,2,0.0,45.0,Hyderabad,Apartment,7170000.0
2081.0,4,3.0,3,1.0,22.0,Mumbai,Villa,44090000.0
2330.0,4,4.0,1,0.0,9.0,Mumbai,Independent House,48500000.0
500.0,1,1.0,2,2.0,25.0,Mumbai,Apartment,8470000.0
1819.0,3,3.0,1,1.0,13.0,Delhi,Apartment,26230000.0
2171.0,4,4.0,2,3.0,13.0,Bangalore,Villa,31550000.0
1340.0,2,1.0,1,1.0,39.0,Mumbai,Apartment,17500000.0
2271.0,4,3.0,3,1.0,10.0,Hyderabad,Independent House,24270000.0
3561.0,6,5.0,2,1.0,31.0,Pune,Villa,42950000.0
1616.0,3,2.0,2,1.0,24.0,Pune,Apartment,12770000.0
1635.0,3,3.0,1,1.0,44.0,Mumbai,Apartment,22570000.0
608.0,1,1.0,2,2.0,38.0,Bangalore,Apartment,6650000.0
1774.0,3,3.0,1,,31.0,Bangalore,Villa,22800000.0
1384.0,2,1.0,2,1.0,38.0,Mumbai,Villa,25280000.0
1630.0,3,3.0,1,1.0,43.0,Mumbai,Independent House,23770000.0
1490.0,2,1.0,1,0.0,35.0,Kolkata,Apartment,8700000.0
1845.0,3,2.0,2,1.0,8.0,Bangalore,Independent House,22020000.0
2017.0,3,3.0,1,0.0,31.0,Chennai,Apartment,17030000.0
1232.0,2,1.0,2,1.0,37.0,Mumbai,Apartment,17150000.0
1328.0,2,2.0,1,0.0,12.0,Chennai,Independent House,13370000.0
1512.0,2,1.0,1,0.0,32.0,Bangalore,Apartment,13020000.0
2662.0,5,4.0,2,0.0,19.0,Mumbai,Independent House,44630000.0
594.0,1,1.0,2,1.0,25.0,Mumbai,Apartment,8870000.0
1407.0,2,2.0,2,0.0,28.0,Mumbai,Independent House,21830000.0
1385.0,2,1.0,2,2.0,12.0,Chennai,Apartment,14960000.0
1505.0,2,1.0,3,1.0,11.0,Delhi,Independent House,24420000.0
1181.0,2,1.0,1,1.0,23.0,Chennai,Apartment,11160000.0
3119.0,5,5.0,1,2.0,5.0,Bangalore,Villa,48830000.0
645.0,1,1.0,1,0.0,43.0,Mumbai,Apartment,8600000.0
861.0,1,1.0,1,1.0,44.0,Pune,Apartment,5580000.0
1623.0,3,3.0,2,0.0,22.0,Kolkata,Apartment,10230000.0
1730.0,3,3.0,3,1.0,17.0,Bangalore,Independent House,20730000.0
2583.0,4,3.0,3,2.0,7.0,Bangalore,Independent House,33460000.0
1306.0,2,1.0,1,1.0,42.0,Delhi,Apartment,13410000.0
1522.0,2,1.0,1,2.0,39.0,Delhi,Independent House,21160000.0
1737.0,3,3.0,2,0.0,1.0,Mumbai,Apartment,40430000.0
2719.0,5,5.0,3,2.0,15.0,Delhi,Villa,43630000.0
2605.0,4,3.0,1,2.0,,Chennai,Independent House,21840000.0
1086.0,2,2.0,2,1.0,20.0,Mumbai,Apartment,19180000.0
1784.0,3,3.0,2,1.0,22.0,Hyderabad,Independent House,19210000.0
2065.0,3,2.0,2,1.0,35.0,Pune,Independent House,18880000.0
2529.0,4,4.0,3,2.0,35.0,Pune,Villa,23610000.0
1409.0,2,1.0,3,0.0,17.0,Kolkata,Independent House,12750000.0
1915.0,3,2.0,2,1.0,4.0,Pune,Villa,26110000.0
1251.0,2,1.0,1,2.0,41.0,Kolkata,Apartment,8320000.0
849.0,1,1.0,1,0.0,7.0,Bangalore,Apartment,9480000.0
1030.0,2,1.0,2,1.0,33.0,Bangalore,Apartment,10670000.0
1173.0,2,1.0,1,1.0,27.0,Chennai,Apartment,10630000.0
656.0,1,1.0,2,1.0,43.0,Pune,Apartment,4970000.0
